CA2263798C	T	50	53	atp	ABBREVIATION
CA2582262A1	A	632	635	AZT	ABBREVIATION
CA2856102A1	A	78	82	THCV	ABBREVIATION
CA2856102A1	T	24	28	thcv	ABBREVIATION
CN100998603A	A	177	179	VC	ABBREVIATION
CN101007811A	A	63	67	ceph	ABBREVIATION
CN101092433A	A	509	513	DMSO	ABBREVIATION
CN101092433A	A	552	554	Pt	ABBREVIATION
CN101092433A	A	703	705	Pt	ABBREVIATION
CN101117340A	A	286	290	HAIP	ABBREVIATION
CN101117340A	A	393	396	bpy	ABBREVIATION
CN101117340A	A	400	404	phen	ABBREVIATION
CN101117340A	A	532	536	HAIP	ABBREVIATION
CN101117340A	A	647	651	HAIP	ABBREVIATION
CN101117340A	A	682	686	HAIP	ABBREVIATION
CN101134029A	A	165	168	ATP	ABBREVIATION
CN101134029A	A	198	201	ATP	ABBREVIATION
CN101134029A	A	659	662	ATP	ABBREVIATION
CN101134029A	T	40	43	ATP	ABBREVIATION
CN101157716B	A	419	423	VitC	ABBREVIATION
CN101157716B	A	590	594	DPPH	ABBREVIATION
CN101157716B	A	730	734	DPPH	ABBREVIATION
CN101199536A	A	301	304	TMP	ABBREVIATION
CN101219110A	A	720	723	FAD	ABBREVIATION
CN101273013A	T	30	34	PGD2	ABBREVIATION
CN101278964A	A	391	393	VE	ABBREVIATION
CN101278964A	A	502	504	VE	ABBREVIATION
CN101278964A	A	75	77	VE	ABBREVIATION
CN101278964A	T	18	20	VE	ABBREVIATION
CN101362736A	A	642	646	CA-4	ABBREVIATION
CN101362736A	A	877	881	CA-4	ABBREVIATION
CN101401786B	A	101	105	EDTA	ABBREVIATION
CN101401786B	A	109	113	EDTA	ABBREVIATION
CN101401786B	A	262	266	EDTA	ABBREVIATION
CN101401786B	A	274	278	EDTA	ABBREVIATION
CN101417974A	A	178	180	FA	ABBREVIATION
CN101579351A	A	248	251	ATP	ABBREVIATION
CN101579351A	A	53	56	ATP	ABBREVIATION
CN101591364B	A	168	170	Ar	ABBREVIATION
CN101653449B	A	109	113	DMTA	ABBREVIATION
CN101653449B	A	97	101	ADDA	ABBREVIATION
CN101653449B	T	15	19	ADDA	ABBREVIATION
CN101653449B	T	27	31	DMTA	ABBREVIATION
CN101703500A	A	348	350	E2	ABBREVIATION
CN101716171A	A	218	221	BLM	ABBREVIATION
CN101735211B	A	152	155	ATP	ABBREVIATION
CN101757624A	A	199	202	PQQ	ABBREVIATION
CN101837004A	A	498	501	GSH	ABBREVIATION
CN101890030A	A	246	250	EGCG	ABBREVIATION
CN101890039A	A	218	224	VitB12	ABBREVIATION
CN101919831B	T	42	48	Vit K1	ABBREVIATION
CN101991535A	A	133	136	DHA	ABBREVIATION
