CA2324343C	T	0	43	C11 oxymyl and hydroxylamino prostaglandins	MULTIPLE
CA2339630C	A	67	94	5- or 6-membered heteroaryl	MULTIPLE
CA2558019A1	T	0	40	Alpha-trifluoromethyl alcohols or amines	MULTIPLE
CN101104602A	A	541	572	tetrahydro-naphthyl or naphthyl	MULTIPLE
CN101669931B	A	208	262	1 to C50 saturated or unsaturated fatty acids or acyls	MULTIPLE
CN101683517A	A	266	298	nipagin methyl ester and alcohol	MULTIPLE
CN101743242A	A	554	585	aromatic monocyclic or bicyclic	MULTIPLE
CN101845033A	A	39	74	iron and selenium quercetin complex	MULTIPLE
CN101845033A	A	710	745	iron and selenium quercetin complex	MULTIPLE
CN101845033A	A	764	799	iron and selenium quercetin complex	MULTIPLE
CN101845033A	T	13	48	iron and selenium quercetin complex	MULTIPLE
CN101891769A	A	324	413	substituted or unsubstituted branched chain, linear chain or cyclic aliphatic hydrocarbon	MULTIPLE
CN101987101A	A	494	533	monocyclic or dicyclic C3-8-dinaphthene	MULTIPLE
CN101987101A	A	624	663	monocyclic to tricyclic C6-15-arylidene	MULTIPLE
CN102212103A	A	428	459	1-steride-imidazole or triazole	MULTIPLE
CN102212103A	A	530	563	1-steride-3-imidazole or triazole	MULTIPLE
CN102361868A	A	285	299	C1 to C6 alkyl	MULTIPLE
